num_agents,scenario,algorithm,soc,sod,solved
1000,10,DyMAB-aUCB,182609,2164,1
1000,10,DyMAB-eGreedy,190754,10309,1
1000,10,MAPF-LNS2,183356,2911,1
1000,10,MAPF-LNS,0,0,0
1000,10,BALANCE-UCB1,195937,15492,0
1000,10,BALANCE-Thompson,193790,13345,0
1000,11,DyMAB-aUCB,185065,2313,1
1000,11,DyMAB-eGreedy,191871,9119,1
1000,11,MAPF-LNS2,185635,2883,1
1000,11,MAPF-LNS,0,0,0
1000,11,BALANCE-UCB1,199627,16875,0
1000,11,BALANCE-Thompson,200117,17365,0
1000,12,DyMAB-aUCB,185047,3357,1
1000,12,DyMAB-eGreedy,192226,10536,1
1000,12,MAPF-LNS2,184694,3004,1
1000,12,MAPF-LNS,0,0,0
1000,12,BALANCE-UCB1,195387,13697,0
1000,12,BALANCE-Thompson,195313,13623,0
1000,13,DyMAB-aUCB,179266,2455,1
1000,13,DyMAB-eGreedy,185710,8899,1
1000,13,MAPF-LNS2,179257,2446,1
1000,13,MAPF-LNS,0,0,0
1000,13,BALANCE-UCB1,191554,14743,1
1000,13,BALANCE-Thompson,189208,12397,0
1000,14,DyMAB-aUCB,182195,3560,1
1000,14,DyMAB-eGreedy,189983,11348,1
1000,14,MAPF-LNS2,182284,3649,1
1000,14,MAPF-LNS,0,0,0
1000,14,BALANCE-UCB1,196573,17938,0
1000,14,BALANCE-Thompson,194643,16008,0
1000,15,DyMAB-aUCB,187655,3359,1
1000,15,DyMAB-eGreedy,193065,8769,1
1000,15,MAPF-LNS2,187601,3305,1
1000,15,MAPF-LNS,0,0,0
1000,15,BALANCE-UCB1,198685,14389,0
1000,15,BALANCE-Thompson,198303,14007,0
1000,16,DyMAB-aUCB,182940,2677,1
1000,16,DyMAB-eGreedy,189923,9660,1
1000,16,MAPF-LNS2,182431,2168,1
1000,16,MAPF-LNS,0,0,0
1000,16,BALANCE-UCB1,195194,14931,0
1000,16,BALANCE-Thompson,194691,14428,0
1000,17,DyMAB-aUCB,190519,3768,1
1000,17,DyMAB-eGreedy,198482,11731,1
1000,17,MAPF-LNS2,190985,4234,1
1000,17,MAPF-LNS,0,0,0
1000,17,BALANCE-UCB1,203175,16424,0
1000,17,BALANCE-Thompson,205266,18515,0
1000,18,DyMAB-aUCB,184579,3597,1
1000,18,DyMAB-eGreedy,191768,10786,1
1000,18,MAPF-LNS2,184208,3226,1
1000,18,MAPF-LNS,0,0,0
