num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
9,35528,"",5.90276,35485,35485,PP
7,35528,"",5.92005,35485,35485,PP
3,35528,"",5.93038,35485,35485,PP
2,35528,"",5.93636,35485,35485,PP
8,35528,"",5.95348,35485,35485,PP
4,35528,"",5.9878,35485,35485,PP
3,35528,"",5.99805,35485,35485,PP
4,35528,"",6.01077,35485,35485,PP
2,35528,"",6.01548,35485,35485,PP
3,35528,"",6.02063,35485,35485,PP
7,35528,"",6.04138,35485,35485,PP
8,35528,"",6.06202,35485,35485,PP
5,35528,"",6.07213,35485,35485,PP
6,35528,"",6.08616,35485,35485,PP
6,35528,"",6.10495,35485,35485,PP
3,35528,"",6.11172,35485,35485,PP
7,35528,"",6.12366,35485,35485,PP
5,35528,"",6.1326,35485,35485,PP
5,35528,"",6.14594,35485,35485,PP
4,35528,"",6.16091,35485,35485,PP
2,35528,"",6.17706,35485,35485,PP
3,35528,"",6.18524,35485,35485,PP
4,35528,"",6.19382,35485,35485,PP
2,35528,"",6.20699,35485,35485,PP
5,35528,"",6.22325,35485,35485,PP
5,35528,"",6.23231,35485,35485,PP
2,35528,"",6.23997,35485,35485,PP
7,35528,"",6.24936,35485,35485,PP
6,35528,"",6.25999,35485,35485,PP
5,35528,"",6.2714,35485,35485,PP
4,35528,"",6.27804,35485,35485,PP
4,35528,"",6.28791,35485,35485,PP
5,35528,"",6.30938,35485,35485,PP
3,35528,"",6.31657,35485,35485,PP
7,35528,"",6.332,35485,35485,PP
2,35528,"",6.33979,35485,35485,PP
3,35528,"",6.34969,35485,35485,PP
4,35528,"",6.35716,35485,35485,PP
6,35528,"",6.36524,35485,35485,PP
6,35528,"",6.38348,35485,35485,PP
6,35528,"",6.3922,35485,35485,PP
7,35528,"",6.409,35485,35485,PP
7,35528,"",6.42988,35485,35485,PP
3,35528,"",6.43635,35485,35485,PP
3,35528,"",6.44442,35485,35485,PP
8,35528,"",6.46256,35485,35485,PP
8,35528,"",6.48595,35485,35485,PP
7,35528,"",6.50957,35485,35485,PP
3,35528,"",6.51701,35485,35485,PP
5,35528,"",6.52959,35485,35485,PP
2,35528,"",6.54278,35485,35485,PP
8,35528,"",6.56425,35485,35485,PP
3,35528,"",6.56929,35485,35485,PP
8,35528,"",6.58658,35485,35485,PP
3,35528,"",6.5972,35485,35485,PP
4,35528,"",6.61952,35485,35485,PP
2,35528,"",6.62404,35485,35485,PP
8,35528,"",6.64945,35485,35485,PP
4,35528,"",6.66015,35485,35485,PP
8,35528,"",6.67601,35485,35485,PP
3,35528,"",6.68336,35485,35485,PP
3,35528,"",6.70587,35485,35485,PP
5,35528,"",6.71963,35485,35485,PP
6,35528,"",6.73421,35485,35485,PP
3,35528,"",6.74427,35485,35485,PP
4,35528,"",6.7535,35485,35485,PP
8,35528,"",6.78551,35485,35485,PP
5,35528,"",6.79411,35485,35485,PP
8,35528,"",6.80987,35485,35485,PP
8,35528,"",6.82859,35485,35485,PP
5,35528,"",6.84455,35485,35485,PP
8,35528,"",6.86338,35485,35485,PP
8,35528,"",6.88646,35485,35485,PP
2,35528,"",6.90359,35485,35485,PP
4,35528,"",6.92098,35485,35485,PP
3,35528,"",6.92879,35485,35485,PP
2,35528,"",6.93409,35485,35485,PP
5,35528,"",6.96047,35485,35485,PP
7,35528,"",6.98488,35485,35485,PP
3,35528,"",6.99283,35485,35485,PP
7,35528,"",7.00705,35485,35485,PP
2,35528,"",7.01456,35485,35485,PP
3,35528,"",7.02845,35485,35485,PP
5,35527,"",7.04371,35485,35485,PP
2,35527,"",7.04917,35485,35485,PP
5,35527,"",7.06464,35485,35485,PP
3,35527,"",7.07469,35485,35485,PP
4,35527,"",7.08416,35485,35485,PP
2,35526,"",7.08891,35485,35485,PP
8,35526,"",7.11266,35485,35485,PP
8,35526,"",7.15516,35485,35485,PP
8,35526,"",7.18738,35485,35485,PP
5,35526,"",7.19797,35485,35485,PP
5,35526,"",7.20508,35485,35485,PP
3,35526,"",7.22029,35485,35485,PP
2,35526,"",7.22831,35485,35485,PP
8,35526,"",7.24882,35485,35485,PP
7,35526,"",7.27995,35485,35485,PP
7,35526,"",7.29607,35485,35485,PP
7,35526,"",7.30614,35485,35485,PP
2,35526,"",7.32095,35485,35485,PP
4,35526,"",7.33304,35485,35485,PP
8,35526,"",7.35407,35485,35485,PP
8,35526,"",7.38157,35485,35485,PP
3,35526,"",7.39208,35485,35485,PP
4,35526,"",7.40553,35485,35485,PP
5,35526,"",7.4188,35485,35485,PP
5,35526,"",7.43183,35485,35485,PP
3,35526,"",7.44517,35485,35485,PP
6,35526,"",7.45563,35485,35485,PP
3,35526,"",7.46187,35485,35485,PP
5,35526,"",7.47728,35485,35485,PP
3,35526,"",7.48706,35485,35485,PP
8,35526,"",7.50579,35485,35485,PP
2,35526,"",7.51048,35485,35485,PP
3,35526,"",7.52166,35485,35485,PP
8,35526,"",7.55178,35485,35485,PP
6,35526,"",7.5639,35485,35485,PP
5,35526,"",7.57644,35485,35485,PP
3,35526,"",7.58691,35485,35485,PP
3,35526,"",7.59705,35485,35485,PP
8,35526,"",7.61535,35485,35485,PP
2,35526,"",7.62274,35485,35485,PP
3,35526,"",7.63851,35485,35485,PP
4,35526,"",7.65575,35485,35485,PP
6,35526,"",7.67262,35485,35485,PP
8,35526,"",7.68918,35485,35485,PP
4,35526,"",7.70069,35485,35485,PP
2,35526,"",7.70536,35485,35485,PP
7,35526,"",7.72311,35485,35485,PP
6,35526,"",7.7324,35485,35485,PP
4,35526,"",7.74083,35485,35485,PP
2,35526,"",7.74817,35485,35485,PP
5,35526,"",7.76037,35485,35485,PP
3,35526,"",7.76933,35485,35485,PP
8,35526,"",7.79239,35485,35485,PP
8,35526,"",7.81301,35485,35485,PP
